ENSEMBL_RNOR,Symbol
ENSRNOG00000056743,AABR07006160.2
ENSRNOG00000036633,AABR07006255.1
ENSRNOG00000028444,AABR07006258.1
ENSRNOG00000061101,AABR07006258.2
ENSRNOG00000020980,AABR07006278.1
ENSRNOG00000058585,AABR07006278.2
ENSRNOG00000021084,AABR07006310.1
ENSRNOG00000058662,AABR07006310.2
ENSRNOG00000041469,AABR07006327.1
ENSRNOG00000005112,AABR07006367.1
ENSRNOG00000048951,AABR07006367.2
ENSRNOG00000029732,AABR07006451.1
ENSRNOG00000061527,AABR07006451.2
ENSRNOG00000042788,AABR07006480.1
ENSRNOG00000031086,AABR07006504.1
ENSRNOG00000062013,AABR07006504.2
ENSRNOG00000030934,AABR07006688.1
ENSRNOG00000031628,AABR07006688.2
ENSRNOG00000061963,AABR07006688.2
ENSRNOG00000036288,AABR07006693.1
ENSRNOG00000036287,AABR07006742.1
ENSRNOG00000013993,AABR07007000.1
ENSRNOG00000054516,AABR07007000.2
ENSRNOG00000034090,AABR07007092.1
ENSRNOG00000033843,AABR07007121.1
ENSRNOG00000042665,AABR07007130.2
ENSRNOG00000041270,AABR07007517.1
ENSRNOG00000036436,AABR07007645.1
ENSRNOG00000041423,AABR07007689.1
ENSRNOG00000010615,AABR07007690.1
ENSRNOG00000041749,AABR07007690.2
ENSRNOG00000052621,AABR07007690.2
ENSRNOG00000018045,AABR07007730.1
ENSRNOG00000056836,AABR07007730.2
ENSRNOG00000041964,AABR07007743.1
ENSRNOG00000032097,AABR07008025.1
ENSRNOG00000041930,AABR07008066.1
ENSRNOG00000026928,AABR07008097.1
ENSRNOG00000060620,AABR07008097.2
ENSRNOG00000026899,AABR07008293.1
ENSRNOG00000060608,AABR07008293.2
ENSRNOG00000039481,AABR07008300.1
ENSRNOG00000030748,AABR07008421.1
ENSRNOG00000061898,AABR07008421.2
ENSRNOG00000036432,AABR07008505.1
ENSRNOG00000019037,AABR07008724.1
ENSRNOG00000057438,AABR07008724.2
ENSRNOG00000011997,AABR07008940.1
ENSRNOG00000053412,AABR07008940.2
ENSRNOG00000042602,AABR07009224.1
ENSRNOG00000011429,AABR07009373.1
ENSRNOG00000053098,AABR07009373.2
ENSRNOG00000021867,AABR07009508.1
ENSRNOG00000059005,AABR07009508.2
ENSRNOG00000038752,AABR07009538.1
ENSRNOG00000013038,AABR07009572.1
ENSRNOG00000053987,AABR07009572.2
ENSRNOG00000031378,AABR07009715.1
ENSRNOG00000036430,AABR07009786.1
ENSRNOG00000041563,AABR07009786.2
ENSRNOG00000041503,AABR07009833.1
ENSRNOG00000011640,AABR07009931.1
ENSRNOG00000053221,AABR07009931.2
ENSRNOG00000038552,AABR07009978.1
ENSRNOG00000041989,AABR07010030.1
ENSRNOG00000040440,AABR07010061.1
ENSRNOG00000036425,AABR07010633.1
ENSRNOG00000032715,AABR07010705.1
ENSRNOG00000028561,AABR07011672.1
ENSRNOG00000061136,AABR07011672.2
ENSRNOG00000028120,AABR07011698.1
ENSRNOG00000060996,AABR07011698.2
ENSRNOG00000034093,AABR07011951.1
ENSRNOG00000041243,AABR07012051.1
ENSRNOG00000029760,AABR07012291.1
ENSRNOG00000061542,AABR07012291.2
ENSRNOG00000029177,AABR07012299.1
ENSRNOG00000061351,AABR07012299.2
ENSRNOG00000033499,AABR07012310.1
ENSRNOG00000009445,AABR07012313.1
ENSRNOG00000051961,AABR07012313.2
ENSRNOG00000009602,AABR07012329.1
ENSRNOG00000052052,AABR07012329.2
ENSRNOG00000002223,AABR07012587.1
ENSRNOG00000046636,AABR07012587.2
ENSRNOG00000037223,AABR07012592.1
ENSRNOG00000017695,AABR07012795.1
ENSRNOG00000056634,AABR07012795.2
ENSRNOG00000030847,AABR07012868.1
ENSRNOG00000061930,AABR07012868.2
ENSRNOG00000023365,AABR07013086.1
ENSRNOG00000059487,AABR07013086.2
ENSRNOG00000030575,AABR07013111.1
ENSRNOG00000061837,AABR07013111.2
ENSRNOG00000030491,AABR07013200.1
ENSRNOG00000061816,AABR07013200.2
ENSRNOG00000000001,AABR07013255.1
ENSRNOG00000042797,AABR07013255.2
ENSRNOG00000041898,AABR07013477.1
ENSRNOG00000041792,AABR07013488.1
ENSRNOG00000036421,AABR07013539.1
ENSRNOG00000036420,AABR07013586.1
ENSRNOG00000030563,AABR07013798.1
